År;Kvartal;Sysselsatta_Kvartal;Sysselsatta_R12;Sysselsatta_Prognos;Tillverkning_Kvartal;Tillverkning_R12;Tillverkning_Prognos;Handel_Kvartal;Handel_R12;Handel_Prognos;IKT_Kvartal;IKT_R12;IKT_Prognos;Utbildning_Kvartal;Utbildning_R12;Utbildning_Prognos;Vård_Omsorg_Kvartal;Vård_Omsorg_R12;Vård_Omsorg_Prognos;Offentlig_förvaltning_Kvartal;Offentlig_förvaltning_R12;Offentlig_förvaltning_Prognos
2020;1;88921;..;;11400;..;;7647;..;;5782;..;;11653;..;;15303;..;;6513;..;
2020;2;88601;..;;11435;..;;7553;..;;5835;..;;11486;..;;15483;..;;6705;..;
2020;3;89753;..;;11676;..;;7775;..;;5897;..;;11166;..;;16292;..;;6825;..;
2020;4;88694;..;;11368;..;;7460;..;;5829;..;;11711;..;;15775;..;;6688;..;
2021;1;87811;-1110;88921;11407;7;11400;7465;-182;7647;5892;110;5782;11728;75;11653;15580;277;15303;6780;267;6513
2021;2;89733;1132;88601;11511;76;11435;7597;44;7553;6096;261;5835;11920;434;11486;15993;510;15483;6724;19;6705
2021;3;92764;3011;89753;11823;147;11676;8055;280;7775;6355;458;5897;11506;340;11166;17184;892;16292;6359;-466;6825
2021;4;91044;2350;88694;11417;49;11368;7652;192;7460;6341;512;5829;9474;-2237;11711;16231;456;15775;6309;-379;6688
2022;1;90515;2704;87811;11357;-50;11407;7690;225;7465;6390;498;5892;9512;-2216;11728;16128;548;15580;6364;-416;6780
2022;2;92139;2406;89733;11399;-112;11511;7866;269;7597;6467;371;6096;9642;-2278;11920;16311;318;15993;6448;-276;6724
2022;3;94503;1739;92764;11781;-42;11823;8272;217;8055;6655;300;6355;9189;-2317;11506;16993;-191;17184;6524;165;6359
2022;4;93215;2171;91044;11401;-16;11417;7709;57;7652;6769;428;6341;9445;-29;9474;16490;259;16231;6582;273;6309
2023;1;92984;2469;90515;11464;107;11357;7648;-42;7690;6904;514;6390;9428;-84;9512;16369;241;16128;6917;553;6364
2023;2;94406;2267;92139;11616;217;11399;7782;-84;7866;7048;581;6467;9539;-103;9642;16968;657;16311;6635;187;6448
2023;3;96814;2311;94503;12106;325;11781;8206;-66;8272;7308;653;6655;9028;-161;9189;17554;561;16993;7313;789;6524
2023;4;94964;1749;93215;11896;495;11401;7778;69;7709;7275;506;6769;8717;-728;9445;17105;615;16490;7027;445;6582
2024;1;94105;1121;92984;12031;567;11464;7710;62;7648;7193;289;6904;8378;-1050;9428;16868;499;16369;7203;286;6917
2024;2;94888;482;94406;12310;694;11616;7783;1;7782;7072;24;7048;8432;-1107;9539;16747;-221;16968;7447;812;6635
2024;3;96547;-267;96814;12786;680;12106;8167;-39;8206;7281;-27;7308;7980;-1048;9028;17561;7;17554;7487;174;7313
2024;4;93361;-1603;94964;12613;717;11896;7632;-146;7778;7141;-134;7275;8189;-528;8717;16308;-797;17105;7383;356;7027
2025;1;92511;-1594;94105;12815;784;12031;7641;-69;7710;7089;-104;7193;7876;-502;8378;16055;-813;16868;7689;486;7203
2025;2;94172;-716;94888;13004;694;12310;7820;37;7783;7074;2;7072;8003;-429;8432;16357;-390;16747;7748;301;7447
2025;3;97012;465;96547;13511;725;12786;8245;78;8167;7237;-44;7281;7670;-310;7980;17693;132;17561;7852;365;7487
