År;Kvartal;Färdigställda_bostäder_Kvartal;Färdigställda_bostäder_R12;Färdigställda_bostäder_Prognos;Färdigställda_småhus_Kvartal;Färdigställda_småhus_R12;Färdigställda_småhus_Prognos;Färdigställda_flerbostadshus_Kvartal;Färdigställda_flerbostadshus_R12;Färdigställda_flerbostadshus_Prognos;Påbörjade_bostäder_Kvartal;Påbörjade_bostäder_R12;Påbörjade_bostäder_Prognos;Påbörjade_småhus_Kvartal;Påbörjade_småhus_R12;Påbörjade_småhus_Prognos;Påbörjade_flerbostadshus_Kvartal;Påbörjade_flerbostadshus_R12;Påbörjade_flerbostadshus_Prognos
2020;1;543;1341;..;29;116;..;514;1225;..;87;1040;..;43;172;..;44;868;..
2020;2;345;1447;..;29;108;..;316;1339;..;450;1276;..;37;177;..;413;1099;..
2020;3;204;1341;..;46;135;..;158;1206;..;133;921;..;27;156;..;106;765;..
2020;4;423;1515;..;58;162;..;365;1353;..;84;754;..;37;144;..;47;610;..
2021;1;255;1227;1341;32;165;116;223;1062;1225;320;987;1040;28;129;172;292;858;868
2021;2;403;1285;1447;29;165;108;374;1120;1339;466;1003;1276;89;181;177;377;822;1099
2021;3;80;1161;1341;25;144;135;55;1017;1206;156;1026;921;50;204;156;106;822;765
2021;4;219;957;1515;68;154;162;151;803;1353;181;1123;754;22;189;144;159;934;610
2022;1;395;1097;1227;36;158;165;359;939;1062;309;1112;987;121;282;129;188;830;858
2022;2;323;1017;1285;82;211;165;241;806;1120;319;965;1003;116;309;181;203;656;822
2022;3;273;1210;1161;69;255;144;204;955;1017;43;852;1026;43;302;204;0;550;822
2022;4;321;1312;957;68;255;154;253;1057;803;43;714;1123;43;323;189;0;391;934
2023;1;272;1189;1097;54;273;158;218;916;939;133;538;1112;20;222;282;113;316;830
2023;2;427;1293;1017;65;256;211;362;1037;806;16;235;965;10;116;309;6;119;656
2023;3;87;1107;1210;41;228;255;46;879;955;147;339;852;7;80;302;140;259;550
2023;4;166;952;1312;25;185;255;141;767;1057;445;741;714;55;92;323;390;649;391
2024;1;116;796;1189;10;141;273;106;655;916;329;937;538;19;91;222;310;846;316
2024;2;64;433;1293;14;90;256;50;343;1037;111;1032;235;17;98;116;94;934;119
2024;3;30;376;1107;18;67;228;12;309;879;67;952;339;67;158;80;0;794;259
2024;4;61;271;952;61;103;185;0;168;767;18;525;741;18;121;92;0;404;649
2025;1;140;295;796;26;119;141;114;176;655;207;403;937;43;145;91;164;258;846
2025;2;223;454;433;27;132;90;196;322;343;215;507;1032;49;177;98;166;330;934
2025;3;196;620;376;33;147;67;163;473;309;115;555;952;8;118;158;107;437;794
2025;4;240;799;271;32;118;103;208;681;168;72;609;525;23;123;121;49;486;404
