År;Kvartal;Inskrivna_arbetslösa_Kvartal;Inskrivna_arbetslösa_R12;Inskrivna_arbetslösa_Prognos;Inrikes_födda_arbetslösa_Kvartal;Inrikes_födda_arbetslösa_R12;Inrikes_födda_arbetslösa_Prognos;Utrikes_födda_arbetslösa_Kvartal;Utrikes_födda_arbetslösa_R12;Utrikes_födda_arbetslösa_Prognos;Ungdomar_arbetslösa_Kvartal;Ungdomar_arbetslösa_R12;Ungdomar_arbetslösa_Prognos;Långtidsarbetslösa_Kvartal;Långtidsarbetslösa_R12;Långtidsarbetslösa_Prognos;Inskrivna_arbetslösa_%_Kvartal;Inskrivna_arbetslösa_%_R12;Inskrivna_arbetslösa_%_Prognos;Inrikes_födda_arbetslösa_%_Kvartal;Inrikes_födda_arbetslösa_%_R12;Inrikes_födda_arbetslösa_%_Prognos;Utrikes_födda_arbetslösa_%_Kvartal;Utrikes_födda_arbetslösa_%_R12;Utrikes_födda_arbetslösa_%_Prognos;Ungdomar_arbetslösa_%_Kvartal;Ungdomar_arbetslösa_%_R12;Ungdomar_arbetslösa_%_Prognos;Långtidsarbetslösa_%_Kvartal;Långtidsarbetslösa_%_R12;Långtidsarbetslösa_%_Prognos
2020;1;5067;523;..;2088;191;..;2979;332;..;744;165;..;2141;189;..;6,4;0,6;..;3,2;0,2;..;19,3;0,7;..;8,2;2,0;..;42,3;-0,7;..
2020;2;5608;1146;..;2389;596;..;3219;550;..;816;245;..;2188;238;..;7,0;1,3;..;3,7;0,9;..;20,5;1,8;..;8,9;2,7;..;39,0;-4,7;..
2020;3;6231;1474;..;2722;745;..;3509;729;..;1057;358;..;2250;213;..;7,7;1,6;..;4,2;1,1;..;21,9;2,6;..;11,2;3,8;..;36,1;-6,7;..
2020;4;5872;1136;..;2448;492;..;3424;644;..;890;181;..;2251;191;..;7,3;1,3;..;3,8;0,7;..;21,5;2,2;..;9,6;2,1;..;38,3;-5,2;..
2021;1;5683;616;5067;2304;216;2088;3379;400;2979;822;78;744;2401;260;2141;6,9;0,5;6,4;3,5;0,3;3,2;20,0;0,7;19,3;8,9;0,7;8,2;42,2;0,0;42,3
2021;2;5408;-200;5608;2069;-320;2389;3339;120;3219;746;-70;816;2535;347;2188;6,6;-0,4;7,0;3,2;-0,5;3,7;19,8;-0,7;20,5;8,2;-0,7;8,9;46,9;7,9;39,0
2021;3;5454;-777;6231;2039;-683;2722;3415;-94;3509;797;-260;1057;2701;451;2250;6,7;-1,0;7,7;3,1;-1,1;4,2;20,1;-1,8;21,9;8,7;-2,5;11,2;49,5;13,4;36,1
2021;4;5159;-713;5872;1914;-534;2448;3245;-179;3424;730;-160;890;2619;368;2251;6,3;-1,0;7,3;3,0;-0,8;3,8;19,3;-2,2;21,5;8,0;-1,6;9,6;50,8;12,4;38,3
2022;1;4836;-847;5683;1754;-550;2304;3082;-297;3379;635;-187;822;2461;60;2401;6,0;-0,9;6,9;2,7;-0,8;3,5;18,3;-1,7;20,0;7,3;-1,6;8,9;50,9;8,6;42,2
2022;2;4641;-767;5408;1660;-409;2069;2981;-358;3339;605;-141;746;2349;-186;2535;5,8;-0,8;6,6;2,6;-0,6;3,2;17,8;-2,0;19,8;7,0;-1,2;8,2;50,6;3,7;46,9
2022;3;4624;-830;5454;1736;-303;2039;2888;-527;3415;649;-148;797;2252;-449;2701;5,9;-0,8;6,7;2,9;-0,2;3,1;17,4;-2,7;20,1;7,5;-1,2;8,7;48,7;-0,8;49,5
2022;4;4734;-425;5159;1751;-163;1914;2983;-262;3245;669;-61;730;2270;-349;2619;5,9;-0,4;6,3;2,7;-0,3;3,0;17,9;-1,4;19,3;7,7;-0,3;8,0;48,0;-2,8;50,8
2023;1;4699;-137;4836;1714;-40;1754;2985;-97;3082;639;4;635;2209;-252;2461;5,6;-0,4;6,0;2,6;-0,1;2,7;16,7;-1,6;18,3;6,2;-1,1;7,3;47,0;-3,9;50,9
2023;2;4613;-28;4641;1651;-9;1660;2962;-19;2981;578;-27;605;2173;-176;2349;5,5;-0,3;5,8;2,5;-0,1;2,6;16,5;-1,3;17,8;5,5;-1,5;7,0;47,1;-3,5;50,6
2023;3;4810;186;4624;1775;39;1736;3035;147;2888;684;35;649;2122;-130;2252;5,7;-0,2;5,9;2,7;-0,2;2,9;16,7;-0,7;17,4;6,5;-1,0;7,5;44,1;-4,6;48,7
2023;4;4735;1;4734;1728;-23;1751;3007;24;2983;667;-2;669;2072;-198;2270;5,6;-0,3;5,9;2,6;-0,1;2,7;16,5;-1,4;17,9;6,3;-1,4;7,7;43,8;-4,2;48,0
2024;1;5004;305;4699;1879;165;1714;3125;140;2985;647;8;639;2125;-84;2209;5,9;0,3;5,6;2,8;0,2;2,6;16,9;0,2;16,7;6,0;-0,2;6,2;42,5;-4,5;47,0
2024;2;4823;210;4613;1790;139;1651;3033;71;2962;607;29;578;2065;-108;2173;5,7;0,2;5,5;2,7;0,2;2,5;16,3;-0,2;16,5;5,7;0,2;5,5;42,8;-4,3;47,1
2024;3;5118;308;4810;2039;264;1775;3079;44;3035;781;97;684;2160;38;2122;6,0;0,3;5,7;3,1;0,4;2,7;16,5;-0,2;16,7;7,3;0,8;6,5;42,2;-1,9;44,1
2024;4;5134;399;4735;1990;262;1728;3144;137;3007;722;55;667;2184;112;2072;6,0;0,4;5,6;3,0;0,4;2,6;16,8;0,3;16,5;6,8;0,5;6,3;42,5;-1,2;43,8
2025;1;5312;308;5004;2088;209;1879;3224;99;3125;680;33;647;2318;193;2125;6,2;0,3;5,9;3,1;0,3;2,8;17,1;0,2;16,9;6,4;0,4;6,0;43,6;1,2;42,5
2025;2;5113;290;4823;2009;219;1790;3104;71;3033;638;31;607;2311;246;2065;6,0;0,3;5,7;3,0;0,3;2,7;16,4;0,1;16,3;6,0;0,3;5,7;45,2;2,4;42,8
2025;3;5310;192;5118;2221;182;2039;3089;10;3079;769;-12;781;2335;175;2160;6,2;0,2;6,0;3,3;0,2;3,1;16,3;-0,2;16,5;7,2;-0,1;7,3;44,0;1,8;42,2
2025;4;5106;-28;5134;2158;168;1990;2948;-196;3144;724;2;722;2316;132;2184;6,0;0,0;6,0;3,2;0,2;3,0;15,5;-1,3;16,8;6,8;0,0;6,8;45,4;2,8;42,5
